"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SJ2";"SJ_2S";1;"SOLDERJUMPERNC";;;
2;"U1";"APDS-9960";1;"APDS-9960";;;
3;"C1";"c_2917";1;"100uF";;;
4;"C2,C3";"0603-CAP";2;"1uF";;;
5;"FID1,FID2";"FIDUCIAL-1X2";2;"FIDUCIAL1X2";;;
6;"JP1";"1X06";1;"M06SIP";;;
7;"LOGO1";"SFE_LOGO_NAME_FLAME_.1";1;"SFE_LOGO_FLAME.1_INCH";;;
8;"LOGO2";"OSHW-LOGO-S";1;"OSHW-LOGOS";;;
9;"R1";"0603-RES";1;"10k";;;
10;"R2,R3";"0603";2;"4.7k";;;
11;"R4";"0603-RES";1;"DNP";;;
12;"SJ1";"SJ_3_PASTE1&2&3";1;"SOLDERJUMPER_2WAYPASTE1&2&3";;;
13;"STANDOFF1,STANDOFF2";"STAND-OFF";2;"STAND-OFF";;;
14;"U$1";"SFE_LOGO_FLAME_.1";1;"SFE_LOGO_NAME_FLAME.1_INCH";;;
